id;date_from;date_to;name;external_coat_thickness;coord;is_current_flag;description;jhi_comment;date_create;date_edit;creator;editor;id_id;id_status_id
1;2019-05-31T01:49:18;2019-05-30T16:44:53;e-enable clicks-and-mortar visionary;19660;HTTP;14663;Human methodical Customer;multi-byte wireless National;2019-05-31T00:24:25;2019-05-30T23:53:29;zero tolerance transform program;Cambridgeshire;4;4
2;2019-05-30T22:57:33;2019-05-31T00:54:03;Optimization;68125;deposit system Chief;24851;Money Market Account deploy;British Indian Ocean Territory (Chagos Archipelago);2019-05-30T22:30:19;2019-05-31T05:52:23;Minnesota SAS haptic;robust withdrawal;8;4
3;2019-05-31T00:16:47;2019-05-30T22:45:06;Rustic Granite Ball;90146;feed;79707;El Salvador Colon US Dollar;background;2019-05-31T06:13:56;2019-05-30T17:45:55;Dominican Peso Vermont;Generic;5;1
4;2019-05-30T17:17:13;2019-05-31T10:49:14;encoding technologies;12056;Frozen circuit Louisiana;53374;Alley Supervisor Refined Wooden Mouse;Rustic Concrete Soap architectures;2019-05-30T20:08:22;2019-05-30T14:22:08;SSL Optimization;Accountability;9;2
5;2019-05-31T05:54:59;2019-05-30T22:28:57;monitor Car deposit;5246;object-oriented;92115;Hat;Practical;2019-05-30T15:34:18;2019-05-30T17:15:29;Unbranded collaborative;Music Groves Jewelery;10;6
6;2019-05-31T01:13:52;2019-05-30T17:41:49;Wooden;92055;Factors Chicken;3387;Coordinator Avon Wisconsin;Jewelery Creative;2019-05-31T04:49:29;2019-05-31T09:01:07;Public-key;Assistant Orchestrator Chips;2;8
7;2019-05-31T00:06:00;2019-05-31T08:29:34;calculating initiatives;3615;model program Operations;27613;Virtual New Jersey;USB Infrastructure Kina;2019-05-31T00:29:54;2019-05-31T07:51:45;web-readiness;cyan;2;2
8;2019-05-31T07:33:31;2019-05-30T21:21:33;executive;47557;artificial intelligence alliance;26039;generate magnetic alarm;connecting relationships;2019-05-30T22:17:10;2019-05-30T14:15:09;next-generation violet Dynamic;Pizza;6;2
9;2019-05-30T14:07:16;2019-05-30T21:51:49;Sausages Regional;56500;leverage Steel engage;70502;utilize;generating;2019-05-31T07:03:19;2019-05-31T03:38:43;Ball Mouse matrix;24/7 Auto Loan Account Checking Account;6;4
10;2019-05-30T15:43:13;2019-05-31T01:30:45;foreground Switzerland CSS;94443;Tasty modular;97913;multi-state US Dollar User-centric;coherent Pizza;2019-05-31T02:03:26;2019-05-30T16:29:22;contingency backing up virtual;Producer;7;6
