id;code;name;full_name;is_current_flag;description;date_create;date_edit;creator;editor
1;Ergonomic target;Gorgeous infomediaries utilize;forecast;54913;invoice;2019-05-31T00:32:19;2019-05-30T15:38:35;Small Frozen Computer Taiwan neural-net;Granite
2;open-source sensor Rustic Steel Fish;Dalasi white;foreground virtual Marketing;40510;Lead;2019-05-31T06:40:17;2019-05-31T00:23:21;overriding Nicaragua;Supervisor
3;grey systems;Concrete SMS Cambridgeshire;Passage generating;55465;payment;2019-05-31T01:45:24;2019-05-31T08:34:52;program compressing;intermediate Nebraska Wooden
4;synthesize foreground Avon;RAM;Credit Card Account Gorgeous Soft Shirt artificial intelligence;13;Buckinghamshire;2019-05-31T13:15:46;2019-05-30T21:13:36;Credit Card Account;Awesome Fresh Shoes Garden User-centric
5;Incredible Security copying;local;FTP South Carolina Human;94298;functionalities seize;2019-05-30T15:54:57;2019-05-30T15:14:59;Ergonomic Australian Dollar Borders;Web calculating
6;Games Ball circuit;Chips radical;Quality;70254;data-warehouse Sleek bluetooth;2019-05-30T22:55:40;2019-05-30T14:24:01;Fantastic;Markets Cambridgeshire
7;Locks Intelligent;integrated clicks-and-mortar;PNG;18602;Somalia applications;2019-05-30T21:06:57;2019-05-31T09:17:58;invoice Row;deposit wireless quantify
8;fault-tolerant;Branding;monitor;31562;deposit whiteboard sensor;2019-05-31T09:36:22;2019-05-31T00:29:14;Gorgeous Fantastic Metal Car bypassing;Borders attitude-oriented calculating
9;Implemented;next-generation Clothing Frozen;Health interface;33024;Investor 24/7;2019-05-30T20:59:27;2019-05-31T03:14:57;Associate Iceland Syrian Pound;Springs
10;override;Frozen RAM;Movies navigate;80715;Wooden global;2019-05-31T13:57:58;2019-05-31T06:25:01;integrated;Bedfordshire turn-key incubate
