id;code;name;full_name;is_current_flag;description;date_create;date_edit;creator;editor
1;Adaptive;bus sexy redundant;revolutionize panel;67166;pink;2019-05-30T21:52:09;2019-05-31T04:10:49;value-added;Bermudian Dollar (customarily known as Bermuda Dollar) withdrawal networks
2;Tasty Frozen Soap Technician;Gorgeous Wooden Pants;generate;59592;withdrawal navigate Concrete;2019-05-30T17:59:13;2019-05-31T07:52:24;Intranet invoice Chicken;lime bandwidth Avon
3;web services;Soft;payment Avon plug-and-play;18424;Sleek Manager yellow;2019-05-31T12:32:49;2019-05-31T05:15:45;Optimized Buckinghamshire Associate;Vermont reintermediate
4;Bypass AI Squares;France Brunei Darussalam Refined;North Dakota;88909;Metrics Handmade Granite Shoes exploit;2019-05-30T22:57:48;2019-05-31T11:28:35;Gateway leading edge Handmade;Granite multi-byte Investment Account
5;Hills Wooden Moldovan Leu;Licensed Officer;ivory;64575;copying Centers;2019-05-30T20:32:14;2019-05-30T23:03:07;Wyoming optimizing Legacy;Monitored
6;India Tasty Security;markets Maryland;Savings Account Borders;69454;Generic Plastic Bike calculating Gorgeous;2019-05-30T17:27:09;2019-05-31T09:46:45;US Dollar;interactive Home Loan Account Gloves
7;Bedfordshire;Frozen;haptic;66797;Senegal bluetooth;2019-05-31T02:06:35;2019-05-30T23:22:26;initiatives;withdrawal Configuration
8;Digitized;systems;orange Future HDD;7672;Ergonomic Avon;2019-05-30T23:21:46;2019-05-30T22:33:06;Roads;Credit Card Account access Health
9;eyeballs Refined District;Idaho AGP TCP;concept Rhode Island;42084;Officer Unbranded Rubber Mouse;2019-05-30T17:23:05;2019-05-31T13:21:52;Books Savings Account;extranet Director
10;collaborative Hryvnia Incredible Frozen Salad;Strategist;Ball generate;22341;Small;2019-05-30T16:59:08;2019-05-30T15:17:03;Regional Chicken architectures;SMTP Graphic Interface Saint Barthelemy
