id;code;name;full_name;is_current_flag;description;date_create;date_edit;creator;editor
1;synthesize customer loyalty;withdrawal;back-end Infrastructure;76357;XML Checking Account backing up;2019-05-30T19:09:25;2019-05-31T05:24:51;Infrastructure Self-enabling;Intelligent Soft Gloves Pizza
2;transmitter Gorgeous;Ameliorated grow;deposit Fresh bottom-line;39783;Principal Analyst Sleek Soft Shoes;2019-05-31T05:03:42;2019-05-30T22:43:57;Handmade Automotive;Division
3;executive Auto Loan Account;Innovative New Hampshire killer;overriding Dynamic;87735;Executive Beauty overriding;2019-05-30T19:56:26;2019-05-31T13:02:55;Industrial;Pizza
4;context-sensitive Group Oklahoma;New Jersey convergence;program;28249;killer;2019-05-30T16:31:29;2019-05-30T16:17:35;programming strategize transmit;Tunnel Borders teal
5;Digitized empowering;TCP orchid;robust;29524;XML Lake Licensed;2019-05-30T18:08:28;2019-05-30T17:55:24;parallelism;input world-class hacking
6;RSS Aruba;full-range;Fantastic Wooden Towels generate Toys;41656;Guinea;2019-05-31T12:40:18;2019-05-30T20:37:41;white orange Home;Team-oriented Movies
7;lavender contingency alarm;index synthesizing;Money Market Account National;81802;Sharable client-server Cotton;2019-05-31T05:53:45;2019-05-30T16:20:12;redundant Manager input;Montenegro Tuna
8;Practical Saint Kitts and Nevis;Games reciprocal Borders;Web;4242;executive Personal Loan Account;2019-05-31T06:51:56;2019-05-30T22:48:40;Soft Colorado haptic;Bedfordshire holistic Division
9;Chicken Fish Practical;Direct Pula bus;global Jewelery Intelligent Wooden Pants;21339;invoice Pizza;2019-05-31T11:07:48;2019-05-30T21:09:18;feed Michigan Infrastructure;function Avon
10;cross-platform circuit;Books optical;Jewelery;70369;Facilitator partnerships;2019-05-31T08:20:37;2019-05-31T00:34:03;Buckinghamshire hard drive Venezuela;Practical Granite Gloves sensor
