id;code;name;full_name;is_current_flag;description;date_create;date_edit;creator;editor
1;European Unit of Account 9(E.U.A.-9) Mission;Avon Generic Steel Ball Swaziland;Configuration Officer;79600;connect;2019-05-31T07:33:37;2019-05-31T07:01:58;Practical Metal Cheese Frozen;black Corporate
2;maximize digital streamline;Connecticut invoice white;Bolivar Fuerte Tennessee;92914;facilitate Incredible Steel Fish navigating;2019-05-31T00:08:19;2019-05-31T10:37:52;contextually-based action-items 4th generation;Response
3;Unbranded Metal Ball Home Loan Account payment;encoding;Personal Loan Account Personal Loan Account Buckinghamshire;35041;Product;2019-05-31T04:34:40;2019-05-30T13:36:42;Baby hard drive;extensible methodologies virtual
4;intuitive;hierarchy;asymmetric rich connecting;93548;lavender brand Implementation;2019-05-31T11:14:56;2019-05-31T08:46:30;De-engineered;Money Market Account Pants Architect
5;Global white;Center;Legacy invoice;27304;Salad secondary;2019-05-31T09:58:37;2019-05-30T18:33:48;Licensed Steel Shoes fuchsia deposit;interface SCSI
6;Legacy Product;open architecture;grid-enabled;19060;Sausages seamless applications;2019-05-30T16:47:23;2019-05-30T16:59:33;Fish;Bouvet Island (Bouvetoya) national
7;Paradigm Rubber;e-commerce Soap Cotton;customized Incredible Concrete Fish;1517;Washington Licensed;2019-05-30T15:46:48;2019-05-30T23:08:02;payment District;Kentucky Solutions
8;compressing;primary Awesome Practical;Wooden Planner;21469;Unbranded Rubber Cheese;2019-05-30T18:59:58;2019-05-30T19:56:22;Credit Card Account;Cyprus Refined Cheese
9;copy Washington;navigating;open-source Industrial redundant;24007;Steel Steel;2019-05-31T12:04:41;2019-05-30T20:07:27;Fields Visionary;Illinois Rubber
10;customized calculating bypassing;National cross-platform;auxiliary;32817;purple Refined;2019-05-31T01:31:54;2019-05-31T04:07:56;Internal Idaho;enable
