id;code;name;full_name;is_current_flag;description;date_create;date_edit;creator;editor
1;web-enabled SMS quantify;Mill;even-keeled payment;72155;SMTP Extensions Analyst;2019-05-30T14:52:08;2019-05-30T19:23:21;Parkways Iceland navigate;Grocery Total
2;Soap Agent Steel;Salad;Grass-roots bandwidth mobile;85898;Administrator solution-oriented feed;2019-05-31T11:37:07;2019-05-30T19:25:45;transmitting Fantastic;Alabama Avon
3;Principal Austria;Tennessee XSS Track;Borders;33597;Keyboard;2019-05-31T04:46:50;2019-05-30T18:00:42;Mauritania Branding;Developer driver withdrawal
4;green Product;copy;Buckinghamshire;26336;mint green Money Market Account;2019-05-31T12:15:14;2019-05-31T02:28:37;portals;monitor Micronesia networks
5;Maine Representative;Handmade Metal Pants;scalable Mouse French Guiana;21546;blue Assistant wireless;2019-05-30T20:25:47;2019-05-30T20:52:40;Tasty hard drive Algerian Dinar;HTTP back up portals
6;Shirt Washington;24/365 Facilitator Lead;Towels Tools;32814;Direct;2019-05-31T12:03:41;2019-05-30T20:17:13;Locks Sausages;Frozen
7;value-added;e-tailers interactive TCP;Namibia payment;23430;Minnesota;2019-05-30T22:51:23;2019-05-30T14:24:01;synthesizing Product generating;Manager
8;Automotive functionalities Licensed;Credit Card Account Refined;synthesize Implementation Ergonomic Steel Pizza;66133;asynchronous;2019-05-31T08:18:15;2019-05-31T04:07:50;Concrete;Berkshire interfaces Cambridgeshire
9;Honduras end-to-end back-end;granular input;wireless open-source Planner;78666;connect EXE;2019-05-31T14:23:02;2019-05-31T02:35:07;Oregon pixel;Fish
10;Plastic;Wisconsin;Factors Handmade Cotton Pizza turquoise;48534;navigating Communications;2019-05-30T23:09:59;2019-05-31T11:24:24;New Mexico withdrawal;Chief HDD
