id;code;name;full_name;is_current_flag;description;date_create;date_edit;creator;editor
1;Licensed Awesome Ergonomic Rubber Cheese;Nevada haptic;wireless Denar hack;1462;orchid monitor leverage;2019-05-30T21:46:20;2019-05-31T08:59:32;Regional hack;Reverse-engineered Home Loan Account systems
2;Internal Nevada invoice;info-mediaries;monitor fault-tolerant;20225;collaboration Persistent;2019-05-31T08:30:49;2019-05-30T16:59:44;JSON firewall;salmon Awesome Belarussian Ruble
3;networks Prairie;redundant intermediate Pataca;invoice;74823;Function-based Estonia;2019-05-30T17:50:59;2019-05-31T09:05:22;Cedi olive;compressing Handcrafted Soft Bacon
4;online parse indigo;synthesize;intuitive eyeballs Health;25957;Grocery;2019-05-30T16:34:17;2019-05-30T16:20:55;connecting;Refined Metal Cheese hardware
5;cyan Bedfordshire circuit;Technician bypassing;compress multi-byte protocol;96726;parsing;2019-05-30T15:59:51;2019-05-31T05:49:56;transmit wireless TCP;Forest Arizona groupware
6;Frozen;National;redundant Alabama architecture;65434;Advanced;2019-05-31T13:19:35;2019-05-31T13:15:36;Investor application alliance;connecting
7;Toys Web;AI Maryland;Tasty Metal Cheese system;67612;Cotton Idaho New Jersey;2019-05-30T16:49:48;2019-05-30T15:23:44;Identity extensible;deposit Wells
8;Analyst invoice;Road Intranet Avon;Street Indian Rupee Ngultrum Dong;37312;Factors;2019-05-31T09:39:18;2019-05-30T22:30:44;Handcrafted Metal Chicken Technician;leading edge
9;calculate;Investment Account Mouse protocol;North Dakota Street;94874;Small Metal Cheese;2019-05-31T13:04:21;2019-05-30T23:02:20;Tenge;Squares Codes specifically reserved for testing purposes Global
10;Cambridgeshire transition;New Hampshire;motivating Senior Pennsylvania;59284;distributed;2019-05-31T12:25:26;2019-05-30T20:48:30;Practical Concrete Computer;Home Loan Account AGP SMS
